Date,Close
23-02-22,254.680
24-02-22,266.923
25-02-22,269.957
28-02-22,290.143
01-03-22,288.123
02-03-22,293.297
03-03-22,279.763
04-03-22,279.430
07-03-22,268.193
08-03-22,274.800
09-03-22,286.323
10-03-22,279.433
11-03-22,265.117
14-03-22,255.457
15-03-22,267.297
16-03-22,280.077
17-03-22,290.533
18-03-22,301.797
21-03-22,307.053
22-03-22,331.327
23-03-22,333.037
24-03-22,337.973
25-03-22,336.880
28-03-22,363.947
29-03-22,366.523
30-03-22,364.663
31-03-22,359.200
01-04-22,361.530
04-04-22,381.817
05-04-22,363.753
06-04-22,348.587
07-04-22,352.420
08-04-22,341.830
11-04-22,325.310
12-04-22,328.983
13-04-22,340.790
14-04-22,328.333
18-04-22,334.763
19-04-22,342.717
20-04-22,325.733
21-04-22,336.260
22-04-22,335.017
25-04-22,332.673
26-04-22,292.140
27-04-22,293.837
28-04-22,292.503
29-04-22,290.253
02-05-22,300.980
03-05-22,303.083
04-05-22,317.540
05-05-22,291.093
06-05-22,288.550
09-05-22,262.370
10-05-22,266.680
11-05-22,244.667
12-05-22,242.667
13-05-22,256.530
16-05-22,241.457
17-05-22,253.870
18-05-22,236.603
19-05-22,236.473
20-05-22,221.300
23-05-22,224.967
24-05-22,209.387
25-05-22,219.600
26-05-22,235.910
27-05-22,253.210
31-05-22,252.753
01-06-22,246.790
02-06-22,258.333
03-06-22,234.517
06-06-22,238.280
07-06-22,238.887
08-06-22,241.867
09-06-22,239.707
10-06-22,232.230
13-06-22,215.737
14-06-22,220.890
15-06-22,233.000
16-06-22,213.100
17-06-22,216.760
21-06-22,237.037
22-06-22,236.087
23-06-22,235.070
24-06-22,245.707
27-06-22,244.920
28-06-22,232.663
29-06-22,228.490
30-06-22,224.473
01-07-22,227.263
05-07-22,233.067
06-07-22,231.733
07-07-22,244.543
08-07-22,250.763
11-07-22,234.343
12-07-22,233.070
13-07-22,237.040
14-07-22,238.313
15-07-22,240.067
18-07-22,240.547
19-07-22,245.530
20-07-22,247.500
21-07-22,271.707
22-07-22,272.243
25-07-22,268.433
26-07-22,258.860
27-07-22,274.820
28-07-22,280.900
29-07-22,297.150
01-08-22,297.277
02-08-22,300.587
03-08-22,307.397
04-08-22,308.633
05-08-22,288.170
08-08-22,290.423
09-08-22,283.333
10-08-22,294.357
11-08-22,286.630
12-08-22,300.030
15-08-22,309.320
16-08-22,306.563
17-08-22,303.997
18-08-22,302.870
19-08-22,296.667
22-08-22,289.913
23-08-22,296.453
24-08-22,297.097
25-08-22,296.070
26-08-22,288.090
29-08-22,284.820
30-08-22,277.700
31-08-22,275.610
01-09-22,277.160
02-09-22,270.210
06-09-22,274.420
07-09-22,283.700
08-09-22,289.260
09-09-22,299.680
12-09-22,304.420
13-09-22,292.130
14-09-22,302.610
15-09-22,303.750
16-09-22,303.350
19-09-22,309.070
20-09-22,308.730
21-09-22,300.800
22-09-22,288.590
23-09-22,275.330
26-09-22,276.010
27-09-22,282.940
28-09-22,287.810
29-09-22,268.210
30-09-22,265.250
03-10-22,242.400
04-10-22,249.440
05-10-22,240.810
06-10-22,238.130
07-10-22,223.070
10-10-22,222.960
11-10-22,216.500
12-10-22,217.240
13-10-22,221.720
14-10-22,204.990
17-10-22,219.350
18-10-22,220.190
19-10-22,222.040
20-10-22,207.280
21-10-22,214.440
24-10-22,211.250
25-10-22,222.420
26-10-22,224.640
27-10-22,225.090
28-10-22,228.520
31-10-22,227.540
01-11-22,227.820
02-11-22,214.980
03-11-22,215.310
04-11-22,207.470
07-11-22,197.080
08-11-22,191.300
09-11-22,177.590
10-11-22,190.720
11-11-22,195.970
14-11-22,190.950
15-11-22,194.420
16-11-22,186.920
17-11-22,183.170
18-11-22,180.190
21-11-22,167.870
22-11-22,169.910
23-11-22,183.200
25-11-22,182.860
28-11-22,182.920
29-11-22,180.830
30-11-22,194.700
01-12-22,194.700
02-12-22,194.860
05-12-22,182.450
06-12-22,179.820
07-12-22,174.040
08-12-22,173.440
09-12-22,179.050
12-12-22,167.820
13-12-22,160.950
14-12-22,156.800
15-12-22,157.670
16-12-22,150.230
19-12-22,149.870
20-12-22,137.800
21-12-22,137.570
22-12-22,125.350
23-12-22,123.150
27-12-22,109.100
28-12-22,112.710
29-12-22,121.820
30-12-22,123.180
03-01-23,108.100
04-01-23,113.640
05-01-23,110.340
06-01-23,113.060
09-01-23,119.770
10-01-23,118.850
11-01-23,123.220
12-01-23,123.560
13-01-23,122.400
17-01-23,131.490
18-01-23,128.780
19-01-23,127.170
20-01-23,133.420
23-01-23,143.750
24-01-23,143.890
25-01-23,144.430
26-01-23,160.270
27-01-23,177.900
30-01-23,166.660
31-01-23,173.220
01-02-23,181.410
02-02-23,188.270
03-02-23,189.980
06-02-23,194.760
07-02-23,196.810
08-02-23,201.290
09-02-23,207.320
10-02-23,196.890
13-02-23,194.640
14-02-23,209.250
15-02-23,214.240
16-02-23,202.040
17-02-23,208.310
21-02-23,197.370
22-02-23,200.860
23-02-23,202.070
24-02-23,196.880
27-02-23,207.630
28-02-23,205.710
01-03-23,202.770
02-03-23,190.900
03-03-23,197.790
06-03-23,193.810
07-03-23,187.710
08-03-23,182.000
09-03-23,172.920
10-03-23,173.440
13-03-23,174.480
14-03-23,183.260
15-03-23,180.450
16-03-23,184.130
17-03-23,180.130
20-03-23,183.250
21-03-23,197.580
22-03-23,191.150
23-03-23,192.220
24-03-23,190.410
27-03-23,191.810
28-03-23,189.190
29-03-23,193.880
30-03-23,195.280
31-03-23,207.460
03-04-23,194.770
04-04-23,192.580
05-04-23,185.520
06-04-23,185.060
10-04-23,184.510
11-04-23,186.790
12-04-23,180.540
13-04-23,185.900
14-04-23,185.000
17-04-23,187.040
18-04-23,184.310
19-04-23,180.590
20-04-23,162.990
21-04-23,165.080
24-04-23,162.550
25-04-23,160.670
26-04-23,153.750
27-04-23,160.190
28-04-23,164.310
01-05-23,161.830
02-05-23,160.310
03-05-23,160.610
04-05-23,161.200
05-05-23,170.060
08-05-23,171.790
09-05-23,169.150
10-05-23,168.540
11-05-23,172.080
12-05-23,167.980
15-05-23,166.350
16-05-23,166.520
17-05-23,173.860
18-05-23,176.890
19-05-23,180.140
22-05-23,188.870
23-05-23,185.770
24-05-23,182.900
25-05-23,184.470
26-05-23,193.170
30-05-23,201.160
31-05-23,203.930
01-06-23,207.520
02-06-23,213.970
05-06-23,217.610
06-06-23,221.310
07-06-23,224.570
08-06-23,234.860
09-06-23,244.400
12-06-23,249.830
13-06-23,258.710
14-06-23,256.790
15-06-23,255.900
16-06-23,260.540
20-06-23,274.450
21-06-23,259.460
22-06-23,264.610
23-06-23,256.600
26-06-23,241.050
27-06-23,250.210
28-06-23,256.240
29-06-23,257.500
30-06-23,261.770
03-07-23,279.820
05-07-23,282.480
06-07-23,276.540
07-07-23,274.430
10-07-23,269.610
11-07-23,269.790
12-07-23,271.990
13-07-23,277.900
14-07-23,281.380
17-07-23,290.380
18-07-23,293.340
19-07-23,291.260
20-07-23,262.900
21-07-23,260.020
24-07-23,269.060
25-07-23,265.280
26-07-23,264.350
27-07-23,255.710
28-07-23,266.440
31-07-23,267.430
01-08-23,261.070
02-08-23,254.110
03-08-23,259.320
04-08-23,253.860
07-08-23,251.450
08-08-23,249.700
09-08-23,242.190
10-08-23,245.340
11-08-23,242.650
14-08-23,239.760
15-08-23,232.960
16-08-23,225.600
17-08-23,219.220
18-08-23,215.490
21-08-23,231.280
22-08-23,233.190
23-08-23,236.860
24-08-23,230.040
25-08-23,238.590
28-08-23,238.820
29-08-23,257.180
30-08-23,256.900
31-08-23,258.080
01-09-23,245.010
05-09-23,256.490
06-09-23,251.920
07-09-23,251.490
08-09-23,248.500
11-09-23,273.580
12-09-23,267.480
13-09-23,271.300
14-09-23,276.040
15-09-23,274.390
18-09-23,265.280
19-09-23,266.500
20-09-23,262.590
21-09-23,255.700
22-09-23,244.880
25-09-23,246.990
26-09-23,244.120
27-09-23,240.500
28-09-23,246.380
29-09-23,250.220
02-10-23,251.600
03-10-23,246.530
04-10-23,261.160
05-10-23,260.050
06-10-23,260.530
09-10-23,259.670
10-10-23,263.620
11-10-23,262.990
12-10-23,258.870
13-10-23,251.120
16-10-23,253.920
17-10-23,254.850
18-10-23,242.680
19-10-23,220.110
20-10-23,211.990
23-10-23,212.080
24-10-23,216.520
25-10-23,212.420
26-10-23,205.760
27-10-23,207.300
30-10-23,197.360
31-10-23,200.840
01-11-23,205.660
02-11-23,218.510
03-11-23,219.960
06-11-23,219.270
07-11-23,222.180
08-11-23,222.110
09-11-23,209.980
10-11-23,214.650
13-11-23,223.710
14-11-23,237.410
15-11-23,242.840
16-11-23,233.590
17-11-23,234.300
20-11-23,235.600
21-11-23,241.200
22-11-23,234.210
24-11-23,235.450
27-11-23,236.080
28-11-23,246.720
29-11-23,244.140
30-11-23,240.080
01-12-23,238.830
04-12-23,235.580
05-12-23,238.720
06-12-23,239.370
07-12-23,242.640
08-12-23,243.840
11-12-23,239.740
12-12-23,237.010
13-12-23,239.290
14-12-23,251.050
15-12-23,253.500
18-12-23,252.080
19-12-23,257.220
20-12-23,247.140
21-12-23,254.500
22-12-23,252.540
26-12-23,256.610
27-12-23,261.440
28-12-23,253.180
29-12-23,248.480
02-01-24,248.420
03-01-24,238.450
04-01-24,237.930
05-01-24,237.490
08-01-24,240.450
09-01-24,234.960
10-01-24,233.940
11-01-24,227.220
12-01-24,218.890
16-01-24,219.910
17-01-24,215.550
18-01-24,211.880
19-01-24,212.190
22-01-24,208.800
23-01-24,209.140
24-01-24,207.830
25-01-24,182.630
26-01-24,183.250
29-01-24,190.930
30-01-24,191.590
31-01-24,187.290
01-02-24,188.860
02-02-24,187.910
05-02-24,181.060
06-02-24,185.100
07-02-24,187.580
08-02-24,189.560
09-02-24,193.570
12-02-24,188.130
13-02-24,184.020
14-02-24,188.710
15-02-24,200.450
16-02-24,199.950
20-02-24,193.760
21-02-24,194.770
22-02-24,197.410
23-02-24,191.970
26-02-24,199.400
27-02-24,199.730
28-02-24,202.040
29-02-24,201.880
01-03-24,202.640
04-03-24,188.140
05-03-24,180.740
06-03-24,176.540
07-03-24,178.650
08-03-24,175.340
11-03-24,177.770
12-03-24,177.540
13-03-24,169.480
14-03-24,162.500
15-03-24,163.570
18-03-24,173.800
19-03-24,171.320
20-03-24,175.660
21-03-24,172.820
22-03-24,170.830
25-03-24,172.630
26-03-24,177.670
27-03-24,179.830
28-03-24,175.790
01-04-24,175.220
02-04-24,166.630
03-04-24,168.380
04-04-24,171.110
05-04-24,164.900
08-04-24,172.980
09-04-24,176.880
10-04-24,171.760
11-04-24,174.600
12-04-24,171.050
15-04-24,161.480
16-04-24,157.110
17-04-24,155.450
18-04-24,149.930
19-04-24,147.050
22-04-24,142.050
23-04-24,144.680
24-04-24,162.130
25-04-24,170.180
26-04-24,168.290
29-04-24,194.050
30-04-24,183.280
01-05-24,179.990
02-05-24,180.010
03-05-24,181.190
06-05-24,184.760
07-05-24,177.810
08-05-24,174.720
09-05-24,171.970
10-05-24,168.470
13-05-24,171.890
14-05-24,177.550
15-05-24,173.990
16-05-24,174.840
17-05-24,177.460
20-05-24,174.950
21-05-24,186.600
22-05-24,180.110
23-05-24,173.740
24-05-24,179.240
28-05-24,176.750
29-05-24,176.190
30-05-24,178.790
31-05-24,178.080
03-06-24,176.290
04-06-24,174.770
05-06-24,175.000
06-06-24,177.940
07-06-24,177.480
10-06-24,173.790
11-06-24,170.660
12-06-24,177.290
13-06-24,182.470
14-06-24,178.010
17-06-24,187.440
